RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure
317,15662736,Doyle,559,France,Male,49,2
318,15666252,Ritchie,706,Spain,Male,42,9
319,15677512,McEncroe,628,Spain,Female,22,3
320,15626114,Pearson,429,France,Male,24,4
321,15810834,Gordon,525,Spain,Female,57,2
322,15678910,Ts'ai,680,France,Female,30,8
323,15694408,Lung,749,France,Male,40,1
324,15585215,Yuan,763,France,Female,31,4
325,15682757,Pardey,734,France,Male,30,3
326,15736601,Tai,716,France,Male,35,4
327,15601848,Scott,594,France,Male,35,2
328,15736008,Hunter,644,France,Female,46,9
329,15669064,Mazzanti,671,Germany,Male,35,1
330,15624528,L?,664,Germany,Male,26,7
331,15598493,Beach,656,France,Male,50,7
332,15601274,Hsieh,667,Spain,Female,40,1
333,15702669,Faulkner,663,Germany,Male,44,2
334,15728669,Knowles,584,Germany,Female,30,8
335,15742668,Day,626,Spain,Female,37,6
336,15697441,Hsueh,485,France,Male,29,7
337,15740476,Tsao,659,Germany,Female,32,3
338,15648064,Kennedy,649,France,Male,33,2
339,15636624,Nwabugwu,805,Spain,Female,39,5
340,15807923,Young,716,Germany,Female,39,10
341,15745844,Kerr,642,Germany,Female,40,6
342,15786170,Tien,659,France,Male,31,4
343,15681081,Marrero,545,Spain,Female,47,5
344,15684484,White,543,France,Male,22,8
345,15785869,Pisano,718,France,Female,25,7
346,15763859,Brown,840,France,Female,43,7
347,15658935,Freeman,630,Germany,Female,34,9
348,15747358,Russell,643,Germany,Male,59,3
349,15735203,Seleznyov,654,Germany,Female,32,1
350,15576256,Yusupova,582,France,Male,39,5
351,15659420,Foley,659,Spain,Male,32,3
352,15593365,Shih,762,Spain,Male,39,2
353,15777352,Ikedinachukwu,568,Spain,Female,32,7
354,15812007,Power,670,Spain,Male,25,6
355,15625461,Amos,613,France,Female,45,1
356,15739438,Reed,539,France,Male,30,0
357,15611759,Simmons,850,Spain,Female,57,8
358,15661629,Ricci,522,Spain,Male,34,9
359,15633950,Yen,737,France,Male,41,1
360,15592386,Campbell,520,France,Male,58,3
361,15803716,West,706,Spain,Male,28,3
362,15696674,Robinson,643,Germany,Female,45,2
363,15706365,Bianchi,648,France,Female,50,9
364,15745088,Chen,443,Germany,Female,29,9
365,15676715,Madukaego,640,France,Male,68,9
366,15613085,Ibrahimova,628,Spain,Female,33,3
367,15633537,Nolan,540,Germany,Female,42,9
368,15594720,Scott,460,Germany,Female,35,8
369,15684042,Blair,636,Germany,Male,34,2
370,15583303,Monaldo,593,France,Female,29,2
371,15611579,Sutherland,801,Spain,Male,42,4
372,15774696,Cole,640,Germany,Female,75,1
373,15694506,Briggs,611,Germany,Male,31,0
374,15688074,Gregory,802,Germany,Male,31,1
375,15759537,Bianchi,717,Germany,Male,35,7
376,15758449,Angelo,769,France,Female,39,8
377,15583456,Gardiner,745,Germany,Male,45,10
378,15667871,Kerr,572,Spain,Male,35,4
379,15677371,Ko,629,Spain,Female,30,2
380,15629677,Distefano,687,Spain,Female,39,2
381,15713578,Farrell,483,France,Female,50,9
382,15591509,Milano,690,France,Male,36,7
383,15568240,Ting,492,Germany,Female,30,10
384,15622993,Boyd,709,Germany,Male,28,8
385,15689294,Onyemaechi,705,Germany,Male,44,3
386,15720910,Black,560,France,Female,66,9
387,15721181,Oliver,611,Spain,Male,46,6
388,15776433,Greco,730,Spain,Male,62,2
389,15748936,Whitehead,709,Spain,Female,45,2
390,15717225,Ikemefuna,544,France,Female,21,10
391,15685226,Morrison,712,Germany,Female,29,7
392,15785611,Onyeoruru,752,Germany,Male,38,3
393,15573456,Cunningham,648,Spain,Male,46,9
394,15684548,Demidov,556,Spain,Male,38,8
395,15620505,Celis,594,Spain,Female,24,0
396,15807432,Cheng,645,Germany,Female,37,2
397,15584766,Knight,557,France,Male,33,3
398,15612187,Morin,547,Germany,Male,32,8
399,15762218,Mills,701,France,Female,39,9
400,15646372,Outhwaite,616,France,Female,66,1
401,15690452,Tung,605,France,Male,52,1
402,15747795,Pai,593,Germany,Female,38,4
403,15781589,Carpenter,751,Spain,Male,52,8
404,15732674,Fennell,443,Spain,Male,36,6
405,15642291,Fontaine,685,France,Male,23,8
406,15692761,Pratt,718,France,Male,36,9
407,15578045,Mitchell,538,Spain,Female,49,9
408,15745354,Franklin,611,Spain,Female,37,4
409,15701376,K'ung,668,Germany,Male,37,10
410,15691625,Ko,537,Germany,Female,41,3
411,15566594,McKenzie,709,Spain,Male,23,10
412,15760431,Pino,850,France,Male,38,1
413,15686302,Fisk,745,Spain,Female,31,3
414,15801559,Chiang,693,Germany,Female,41,9
415,15810432,Moseley,795,Spain,Male,35,8
416,15809616,Hsiung,626,Spain,Male,26,8
417,15720559,Heath,487,Germany,Female,61,5
418,15695632,Dellucci,556,France,Female,39,9
419,15659843,Li,643,France,Female,46,6
420,15615624,De Salis,605,France,Female,28,6
421,15810418,T'ang,756,Germany,Female,60,3
422,15716186,Richardson,586,France,Female,38,2
423,15674551,Fitch,535,Germany,Male,40,7
424,15622834,Stevenson,678,France,Female,35,4
425,15566111,Estes,596,France,Male,39,9
426,15784597,Lattimore,648,France,Male,26,9
427,15652883,Chung,492,Germany,Male,39,10
428,15806964,Utz,702,France,Male,45,0
429,15576313,Wei,486,Germany,Female,40,9
430,15806467,Boyle,568,Germany,Male,40,1
431,15597602,Nwachinemelu,619,Germany,Male,57,3
432,15743040,Kuznetsova,724,Germany,Male,41,2
433,15705521,Pisani,548,Germany,Female,33,0
434,15595039,Manna,545,Germany,Female,37,8
435,15799384,Collier,683,France,Male,33,8
436,15581197,Ricci,762,France,Female,51,3
437,15693737,Carr,627,Germany,Female,30,4
438,15624623,Hs?,516,France,Male,35,10
439,15783501,Findlay,800,France,Female,38,2
440,15690134,Hughes,464,Germany,Female,42,3
441,15782735,Chukwuemeka,626,France,Female,35,3
442,15611088,Genovese,790,France,Female,31,9
443,15672145,Swift,534,France,Female,34,7
444,15732628,Ugoji,745,France,Male,46,2
445,15787470,Parkinson,553,Spain,Male,47,3
446,15803406,Ross,748,France,Female,26,1
447,15730460,Oleary,722,France,Male,37,2
448,15644572,Turnbull,501,France,Male,40,4
449,15694860,Uspensky,675,France,Female,38,6
450,15658169,Cook,778,Spain,Female,47,6
451,15794396,Newbold,494,Germany,Female,38,7
452,15785798,Uchechukwu,850,France,Male,40,9
453,15710825,Ch'en,592,Spain,Male,31,7
454,15668444,He,590,Spain,Female,44,3
455,15726631,Hilton,758,France,Female,39,6
456,15733797,Sal,506,France,Male,36,5
457,15747960,Eluemuno,733,France,Male,33,3
458,15634632,Titus,711,France,Male,38,3
459,15707362,Yin,514,Germany,Male,43,1
460,15662976,Lettiere,637,Spain,Male,37,8
461,15732778,Templeman,468,Germany,Male,29,1
462,15718443,Chibuzo,539,France,Male,39,3
463,15670039,Sun,509,Spain,Female,25,3
464,15773792,Evans,662,France,Female,32,4
465,15613786,Ogbonnaya,818,Spain,Male,26,4
466,15726032,Enyinnaya,608,France,Male,33,9
467,15663252,Olisanugo,850,Spain,Female,32,9
468,15593782,Brookes,816,Germany,Female,38,5
469,15633283,Padovano,536,France,Male,35,8
470,15749167,Fisk,753,France,Male,35,3
471,15759298,Shih,631,Spain,Male,27,10
472,15683625,Hare,703,France,Male,37,1
473,15635367,Muir,774,France,Male,26,2
474,15681705,Fanucci,785,France,Male,28,8
475,15603156,Elewechi,571,France,Female,33,1
476,15591986,Johnston,621,Germany,Male,46,6
477,15798888,Pisano,605,Germany,Female,31,1
478,15809722,Ankudinov,611,France,Female,40,8
479,15677538,Nwokike,569,France,Male,38,7
480,15797736,Smith,658,France,Male,29,4
481,15695585,Atkins,788,Spain,Male,34,6
482,15744398,Burns,525,France,Female,23,5
483,15750658,Obiuto,798,France,Male,37,8
484,15578186,Pirozzi,486,Germany,Male,37,9
485,15676519,George,615,Spain,Male,61,9
486,15637954,Lewis,730,France,Female,35,0
487,15758639,Moran,641,France,Male,37,7
488,15613772,Dalrymple,542,France,Male,39,3
489,15731744,Carslaw,692,France,Male,30,2
490,15807709,Kirby,714,Germany,Female,55,9
491,15714689,Houghton,591,Spain,Male,29,1
492,15699005,Martin,710,France,Female,41,2
493,15624170,Tan,639,France,Female,38,4
494,15725679,Hsia,531,France,Female,47,6
495,15585865,Westerberg,673,France,Female,38,2
496,15804256,Hale,765,Germany,Male,36,8
497,15662403,Kryukova,622,France,Female,32,6
498,15733616,Sopuluchukwu,806,France,Male,40,5
499,15591995,Barry,757,Germany,Male,26,8
500,15677020,Selezneva,570,France,Female,58,8
